2023-09-19	10:33:26	d8e41367-645b-42d4-9147-8aec391d277d	/data/data.json	GET
2023-09-19	10:33:44	1feb6681-4da4-4deb-9663-0a1414ea6022	/data/data.txt	GET
2023-09-19	10:33:48	3437711b-c4c4-4700-b358-4aaa7ba78406	/	GET
2023-09-19	10:33:48	7e13ac75-53f9-43a4-98e1-ad77f432842f	/css/style.css	GET
2023-09-19	10:33:59	01d6f6eb-2faa-4ab4-b885-136bccedb723	/kj	GET
2023-09-19	10:33:59	ce4b54fa-3041-4dae-94db-b91197c0854c	/css/style.css	GET
2023-09-19	10:34:22	1bc0c971-63c1-4327-9428-ed9c3e8659f2	/	GET
2023-09-19	10:34:53	54863247-491f-4065-8a84-ab2ccc34adc6	/	GET
2023-09-19	10:34:53	78b8ecbe-995f-497f-8ee5-921fa7721723	/css/style.css	GET
2023-09-25	07:52:25	1736fa77-239b-4560-aef5-894c9683ccca	GET	undefined	/new-page.html
2023-09-25	07:52:25	6e06b763-d9d5-455d-acc4-8a7b6bea040c	GET	undefined	/css/style.css
2023-09-25	07:52:25	d45bf625-116f-472b-920b-001bf0f11d45	GET	undefined	/img/img1.jpg
2023-09-25	07:55:48	404c4be0-b8f5-448e-869b-c2d9eacbcc65	GET	undefined	/new-page.html
2023-09-25	07:55:48	18f5ef8a-6e76-413d-84d6-ecfdd36ede3a	GET	undefined	/css/style.css
2023-09-25	07:55:48	42bee8a6-daef-4e7d-8eb5-d666ecd9c44f	GET	undefined	/img/img1.jpg
2023-09-25	07:58:41	b3321f67-9ea3-4bd4-b8e2-6eb79c94813f	OPTIONS	https://www.google.com	/
2023-09-25	07:58:41	609bd330-4618-49ff-85e7-98100d38217c	GET	https://www.google.com	/
2023-09-28	14:53:36	918aba83-70d5-4577-9754-a4c80b766981	GET	undefined	/img/img1.jpg
2023-09-28	14:53:36	4fd6536d-792a-4899-972e-c5ea6927ef74	GET	undefined	/css/style.css
2023-09-28	14:53:37	37107635-a800-403f-8517-d3436ccf1c6e	GET	undefined	/favicon.ico
2023-09-28	14:53:39	a06820b3-d3ac-4092-86f9-c20fda60dbe4	GET	undefined	/subdir
2023-09-28	14:53:39	9d41ab97-9f66-45f2-b545-ed69a2d5220f	GET	undefined	/subdir/
2023-09-28	14:55:07	6b2ccc73-d054-434a-b926-5c56562b1514	GET	undefined	/
2023-09-28	14:55:28	32a8d286-4c0f-440e-aa60-8c8eccf2988c	GET	undefined	/
2023-09-28	14:55:28	24a48fa4-05c8-4381-958c-3ded0967f380	GET	undefined	/css/style.css
2023-09-28	14:55:35	e3fc23c7-ff53-4c1c-8469-3c1e4b7ec330	GET	undefined	/subdir/
2023-09-28	15:09:31	0c5d071e-a305-45eb-8a10-e677538344d9	GET	undefined	/employes
2023-09-28	15:09:36	0344023f-d08a-462b-a70b-0f5fc3ddca56	GET	undefined	/api/employes
2023-09-28	15:09:46	c6dd03e4-48da-496e-920d-1078861f518f	GET	undefined	/employees
2023-09-28	15:09:55	fa0f6fcb-a99c-4d79-b3c3-b99d49ae3d03	GET	undefined	/employees/1
2023-09-28	15:09:58	91241c50-8bed-46f8-b2d3-aeaa80722812	GET	undefined	/employees
2023-09-28	15:10:35	30a5885f-0092-483d-883f-bd75018442f1	POST	undefined	/employees
